,index,Unnamed: 0,sample_id,date,group,sample_type,qaqc_type,Au,As,Sb,Ag,Ba,Bi,Ca,Cd,Cl,Co,Cr,Cu,Fe,Hg,K,Mn,Mo,Ni,P,Pb,Rb,S,Se,Sn,Sr,Ti,U,V,Zn,Zr,Nb,Pd,Pt,Rh,Y,La,Ce,Pr,Nd,Sm,comments
33,35,35,TE2-007,2021-10-13,group 1,soil,sample,6.1,27.690358646254236,2.9159139418710267,<9.758418805395854,268.10835325984266,<4.26929417764139,12506.228065609117,<nan,1894.0,37.650920252940494,<61.11209177967383,47.75955420888188,66632.81284755435,-24.6,8079.052488459582,2258.6501147679237,6.205980295385295,101.10175144101643,1331.8054644669953,73.40574240101353,70.7949978451695,<1888.1967632959377,<nan,<5.342780803987754,300.33980640250417,10176.735902050881,<4.808030478491732,210.23041678085562,237.99591452908635,14974.791828145195,147.23810369472136,2.9,19.7,1.4,34.852088898127334,38.324816511801416,75.17808219178082,-2.2646112115294224,25.67280072404572,-6.275272878813137,
34,36,36,TE2-006,2021-10-13,group 1,soil,sample,2.0,16.999054450899635,<1.7869220549759781,<9.758418805395854,610.9797673270169,<4.26929417764139,14248.840566397728,<nan,672.0,<30.441780568272534,<61.11209177967383,13.74746703836561,32831.37203002215,-4.8,12063.93793779046,1805.6373178458618,8.391497464885445,53.60283913869212,1193.3836387099313,31.14563270418295,68.30352847770634,<1888.1967632959377,<nan,<5.342780803987754,457.7966399326829,4285.224238220628,<4.808030478491732,94.24837162683193,125.63271641640713,3030.065265102584,26.595232958133195,1.5,10.6,0.3,28.653727401426227,41.35433970543283,86.41095890410958,5.796069640771663,17.04386211396274,9.273051841973663,
35,37,37,TE2-W07,2021-10-13,group 1,sediment,sample,5.4,24.126590581136035,<1.7869220549759781,<9.758418805395854,234.89268502208517,<4.26929417764139,62014.296036731736,<nan,1587.0,<30.441780568272534,<61.11209177967383,43.224609252813046,55001.00867846139,-4.7,3801.7648927557257,2131.365545721238,5.165257833718557,148.60066374334076,2993.7075667278277,34.5415343762497,38.70487239224379,3607.78098549493,<nan,<5.342780803987754,1029.7826882668016,9859.635520092881,12.042893391831381,199.1088508071821,217.03263129910889,1950.1914614326806,52.62471536414729,1.2,14.0,0.8,97.61049905222605,119.1121016753056,66.13698630136986,0.7581441080834849,15.360166775409965,-6.897205867644608,
36,38,38,TE2-014,2021-10-13,group 1,soil,sample,5.4,22.938667892763302,1.8381993642143506,<9.758418805395854,423.471962759031,6.430632826026672,18703.892785732045,<nan,929.0,<30.441780568272534,211.29155842030235,23.68115598975449,36292.65446061273,-14.1,8143.090975061927,5341.5425115207145,82.5950089817239,-38.228391312468226,1531.3513437829447,37.182791232301604,78.36906472225756,1912.269558780181,<nan,<5.342780803987754,589.5462353354854,3690.661022049377,25.62774267163928,307.1469202657248,289.1463256102314,5255.92759511606,73.79392097235794,3.4,9.1,1.1,338.6824872632083,327.13936097132887,58.19178082191779,-4.2078110598520055,32.618043995575924,9.273051841973663,
37,39,39,TE2-008,2021-10-13,group 1,soil,sample,0.44999999999999996,5.891977314614576,2.9159139418710267,,554.1916893721411,,10372.095438014487,,378.5,,,11.04809504070559,26579.31959275764,-3.95,13248.649939933857,373.43535589536214,,37.76986837125068,830.7352590899457,31.522955112190367,58.28782162050436,,,,346.39860804738635,3052.2678251988355,,51.35090287123412,64.50378251779286,4098.919948326877,12.12240871578511,2.4,9.25,0.55,10.501383018230136,27.721485334091497,91.06849315068493,3.3490772391802626,19.35894320447281,5.230487414569095,
38,40,40,TE2-010,2021-10-13,group 1,soil,sample,8.5,16.999054450899635,1.8381993642143506,<9.758418805395854,363.4694652972755,<4.26929417764139,29926.493090306372,<nan,2560.0,55.18596220207267,<61.11209177967383,15.259115357055222,79338.28296737315,-34.5,11399.387605124606,1611.2026218217914,20.672022512552957,284.76421234333714,1683.8464052391332,56.80355644868723,74.28305495961796,1979.59394145015,<nan,<5.342780803987754,657.0277354198478,13125.159645833442,<4.808030478491732,246.7727049800686,220.38675661590528,9046.505028406335,197.35295778762816,2.9,21.8,0.7,45.920591570807886,74.67909483537831,56.27397260273971,1.1899662965996147,19.14848128715371,-3.1656079346557764,
39,41,41,TE2-004,2021-10-13,group 1,soil,sample,1.3,4.763450760660479,<1.7869220549759781,<9.758418805395854,614.1941868338967,<4.26929417764139,10891.07019917831,<nan,364.0,<30.441780568272534,<61.11209177967383,9.212522082296774,25256.485302797148,-6.8,14273.869862237452,1209.304100658635,24.31455112838654,40.93646252473897,873.4800869223621,24.91981297206059,74.58203128371353,<1888.1967632959377,<nan,<5.342780803987754,384.95946523845055,3143.357958958405,<4.808030478491732,60.88367370581142,96.36797302735859,6181.533712547405,27.999312921943087,1.8,12.4,1.2,21.12714558400346,32.265770124538605,85.31506849315068,3.7089290629437044,26.9355722279603,1.8098559759959993,
40,42,42,TE2-012,2021-10-13,group 1,soil,sample,1.3,14.623209074154166,4.53248580835604,<9.758418805395854,503.83245043102494,<4.26929417764139,11340.823908923669,<nan,933.0,<30.441780568272534,<61.11209177967383,14.287341437897615,38066.86840755686,-4.2,12077.22894444378,5070.937522208863,57.51359765555549,47.269650831715545,955.3989215889098,74.53770962503576,70.29670397167688,<1888.1967632959377,<nan,<5.342780803987754,330.3315842177763,4809.659485305013,<4.808030478491732,132.3794549651411,184.32990946034403,5255.92759511606,27.999312921943087,5.5,11.8,1.5,35.184143978307745,62.56100206085267,82.57534246575341,2.845284685911445,27.1460341452794,-9.384937822970496,
41,43,43,TE2-007,2021-10-13,group 1,soil,sample,6.1,27.690358646254236,2.9159139418710267,<9.758418805395854,268.10835325984266,<4.26929417764139,12506.228065609117,<nan,1894.0,37.650920252940494,<61.11209177967383,47.75955420888188,66632.81284755435,-24.6,8079.052488459582,2258.6501147679237,6.205980295385295,101.10175144101643,1331.8054644669953,73.40574240101353,70.7949978451695,<1888.1967632959377,<nan,<5.342780803987754,300.33980640250417,10176.735902050881,<4.808030478491732,210.23041678085562,237.99591452908635,14974.791828145195,147.23810369472136,2.9,19.7,1.4,34.852088898127334,38.324816511801416,75.17808219178082,-2.2646112115294224,25.67280072404572,-6.275272878813137,
42,44,44,GR1-W06,2021-10-13,group 1,sediment,sample,4.4,5.951373449033213,2.377056653042689,<9.758418805395854,538.1195918377424,<4.26929417764139,22720.911261698733,<nan,560.0,<30.441780568272534,<61.11209177967383,14.93519071733602,39768.32012300972,-10.0,12250.0120309369,1083.0217723131045,4.1245353720518185,126.43450466892274,1834.0309354611372,16.335728189891878,45.28235152234657,<1888.1967632959377,<nan,<5.342780803987754,549.9142432224473,8998.28111717812,<4.808030478491732,94.24837162683193,85.21550634901058,8407.39604256088,52.840727666271896,1.8,13.5,0.7,39.390174993926365,69.62988951265929,76.54794520547944,3.6369586981910156,17.67524786592003,10.516917819636607,
